id,trigger,conditions,script,text,options,notes
"# CLICK TO VIEW ALL ETHOSES
$player.ethosAntiAI++
$player.ethosCocky++
$player.ethosGenerous++
$player.ethosHonorable++
$player.ethosHumanitarian++
$player.ethosHumble++
$player.ethosKnowledge++
$player.ethosLiar++
$player.ethosMercenary++
$player.ethosOrder++
$player.ethosProAI++
$player.ethosRuthless++
$player.ethosSarcastic++
$player.ethosTruth++",,,,,,
# A PROMISE,,,,,,
# bar event,,,,,,
APbarOption,AddBarEvents,"!$market.isHidden
!$global.sotf_beganPromise
SotfPromiseCMD checkStart
!SotfPromiseCMD checkLowFreq
RollProbability 0.5","AddBarEvent APbar_start ""Join the patrol officers in their discussion"" ""A few shabby-looking ship officers share drinks, telling stories and occasionally bursting out in laughter or argument, drawing eyes from the other spacers.""",,,
APbarOptionLowFreq,AddBarEvents,"!$market.isHidden
!$global.sotf_beganPromise
SotfPromiseCMD checkStart
SotfPromiseCMD checkLowFreq
RollProbability 0.5","AddBarEvent APbar_start ""Join the patrol officers in their discussion"" ""A few shabby-looking ship officers share drinks, telling stories and occasionally bursting out in laughter or argument, drawing eyes from the other spacers.""",,,
APbar1,DialogOptionSelected,$option == APbar_start,"$missionId = $sotf_apromise
ShowPersonVisual false sotf_apromise_bar_league
ShowSecondPerson sotf_apromise_bar_heg","You slide in amongst the ship captains, who seem to have no problem with you joining their revelry, and catch the tail-end of an extended boastful story about ""That one time I phased through two Sunders just to nail a Colossus in the engines with a Reaper, you should've seen it!""

As he finishes, another recounts narrowly outmaneuvering a Pather torpedo only for it slam into the vessel of another ""crazed sermon-spewing nutjob"" and vaporize it then and there.

One wearing a faded Hegemony medal - a few cycles into retirement and here to live through others, you reckon - recalls fighting tooth-and-nail to keep flankers off the tail of an Onslaught as it tore through a horde of ""those damn blue things COMSEC wouldn't tell me anything about"".","APbar_tellStory:Tell a story of your own
backToBar:Leave",
APbar2,DialogOptionSelected,$option == APbar_tellStory,"AdjustRepPerson sotf_apromise_bar_league FAVORABLE 5
AdjustRepPerson sotf_apromise_bar_heg FAVORABLE 4
AdjustRepPerson sotf_apromise_bar_giver FAVORABLE 7","Life as a fleet commander is one fraught with close encounters with death. You recount one such battle against uncertain odds, achieving victory through tactical genius and spacer's grit.

Your final point - pinging green to let the rest of the fleet know you've triumphed, as the enemy had been rendered broken and scattered - stirs up cheers from around the table. You're unsure if it's your story-telling prowess or just the sheer quantity of drink that's vanishing into these people.

The spotlight on you and the chatter focused on your deeds, you have a chance to act.","APbar_askRumors:Ask if the captains have heard any interesting rumors
backToBar:Make a dramatic exit",
APbar3,DialogOptionSelected,$option == APbar_askRumors,"BeginMission sotf_apromise
ShowPersonVisual false sotf_apromise_bar_giver
Call $global.apromise_ref updateData
FireBest APromiseMissionStarted
$global.sotf_beganPromise = true",,,
APbar3Text,APromiseMissionStarted,,SetTextHighlights $apromise_system1SName,"A young officer jumps at the opportunity. ""Heard about some weird incident from a militia type while over at Eochu Bres - bar's a great place to hear about that sort of thing - says he saw a strange high-tech frigate while out in $apromise_system1SName by its lonesome, transponder off.""

She sets down her drink. ""Tried to hail it, but then some black-ops fleet swoops in guns-blazing. Bugged out immediately, didn't want to get involved. Wonder what that was all about.""","APbar_cont:""Sounds interesting.""",
APbar4,DialogOptionSelected,$option == APbar_cont,ShowSecondPerson sotf_apromise_bar_grump,"You listen a little while longer as a rugged Asharu major begins ranting about the modern over-reliance on ""fancy-schmancy laser beams and teleporting blue ships"", inciting an argument about the dependability of low-tech classics versus the endless potential of state-of-the-art high-tech prototypes.",backToBar:Return to the bar,
