name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
# CONCORDS,,,,,,,,,,,,,,,,,,,
Sierra's Concord,sotf_sierrasconcord,,,Anomalous Phase-Tech,"sotf_concord, codex_require_related",,,,TRUE,,0,0,0,0,data.hullmods.SotfSierrasConcord,"Blessed by space and stars, this vessel is gifted with passage between dimensions to align the Sector's true fate with its reality. In layman's terms, it is fitted with an exotic ""Concord"" phase system operable only by Sierra, its specialized AI persona.

This ship experiences time at %s the normal rate. Its zero-flux speed bonus is increased by %s. An advanced emitter improves the shield's unfolding rate by %s. Reflexive blast doors negate all crew losses.","Time multiplier, 0-flux boost improved and responsive shields.",,graphics/hullmods/sotf_sierrasconcord.png
Eidolon's Concord,sotf_eidolonsconcord,,,Anomalous Phase-Tech,"sotf_concord, hide_in_codex",,,,TRUE,,0,0,0,0,data.hullmods.SotfEidolonsConcord,"Augmented for interdimensional skirmishing and piloted by a specialized AI with an unusual connection to phase-space, this ship has ma :::: ::::

{the whispers sing to me as I dance within the folds betwe:::
:::en dimensions and speak to the ones beyond. 
       La-la l
                 a-la-la! 
won't you dance with me?}

:::: ny edges over tradit:::::
{data stream corrupted!}
{oops}",DANCE WITH ME SING WITH ME,,graphics/hullmods/sotf_sierrasconcord.png
Siren's Concord,sotf_sirensconcord,,,Anomalous Phase-Tech,"sotf_concord, hide_in_codex",,,,TRUE,,0,0,0,0,data.hullmods.SotfSirensConcord,"Augmented for interdimensional skirmishing and piloted by a specialized AI with an unusual connection to phase-space, this ship has many edges over traditional warships.

This ship experiences time at %s the normal rate. Its zero-flux speed bonus is increased by %s. An advanced emitter improves the shield's unfolding rate by %s.","Time multiplier, 0-flux boost improved and responsive shields.",,graphics/hullmods/sotf_sierrasconcord.png
,,,,,,,,,,,,,,,,,,,
# CONCORD AUGMENTS,,,,,,,,,,,,,,,,,,,
Concord - Serenity,sotf_serenity,3,0,Anomalous Phase-Tech,"special, no_drop, no_drop_salvage, codex_unlockable",Special,10000,,,,5,10,15,25,data.hullmods.SotfSerenity,"This ship's Phase Concord is subject to similar disruption from hard flux as standard phase coils. Additional shielding and insulation around its cables allow it to sustain greater traction during operation.

This augment allows the Concord to handle higher levels of hard flux, increasing the threshold at which speed bottoms out by %s. The base threshold is %s, and the enhanced insulation takes it to %s, causing hard-flux-stress to never reach its most debilitating levels.",Reduces impact of hard flux level on top speed while phased.,,graphics/hullmods/sotf_serenity.png
Concord - Fervor,sotf_fervor,3,0,Anomalous Phase-Tech,"special, no_build_in, no_drop, no_drop_salvage, phase_brawler, codex_unlockable",Special,10000,,,,10,20,30,50,data.hullmods.SotfFervor,"Enhances the ship's Phase Concord, fitting the core chamber and phaseweb with capacitors that dump generated flux into phase-space to create temporal distortion.

Reduces the phase cloak's activation cost to %s. Increases the soft flux dissipation and weapon recharge rate by %s while phased.

When suffering critical damage that would otherwise destroy or disable the ship, it is able to initiate an emergency dive deep into p-space, immediately retreating from combat but suffering an additional penalty to combat readiness equal to %s its deployment cost. The ship must have enough combat readiness to cover this cost to initiate the dive.

This ship's phase dive does not prevent ships with %s from also initiating phase dives due to the unusual frequencies of the disturbances caused.","Increases flux dissipation and weapon recharge while phased, emergency dive maneuver.",,graphics/hullmods/sotf_fervor.png
Concord - Wispersong,sotf_wispersong,3,0,Anomalous Phase-Tech,"special, no_drop, no_drop_salvage, restricted, codex_unlockable",Special,100000,,,,5,12,18,24,data.hullmods.SotfWispersong,"A specially-tuned energy emitter, installed to Sierra's specifications. Triggers in response to brief spacial interference caused by nearby starship reactor detonations, exacerbating the agitation and generating short-lived particles that are attracted to enemy ships.

When a hostile ship is disabled within %s units, it creates %s/%s/%s/%s wisps based on its hull size. Wisps detonate after %s seconds or upon premature destruction. Each wisp discharges energy for %s energy damage and %s EMP every half a second, at the cost of one second of its lifespan.",Creates wisps when nearby ships are destroyed.,,graphics/hullmods/sotf_wispersong.png
Concord - Soulbond,sotf_soulbond,3,0,Anomalous Phase-Tech,"special, no_drop, no_drop_salvage, restricted, codex_unlockable",Special,100000,,,,5,12,18,25,data.hullmods.SotfSoulbond,<Description written in script>,Allows this ship and the flagship to travel to each other.,,graphics/hullmods/sotf_soulbond.png
