id,type,text1,text2,text3,text4,notes
,,,,,,
sotf_apromise_station,CUSTOM,"A dilapidated research station, drifting in a semi-stable orbit. Electromagnetic signals can be detected emanating from a core segment in a rhythmic fashion, bringing to mind a repeating distress call.",,,,
sotf_apromise_vena,CUSTOM,"A frigate of strange design. Although online, it appears as though it has been attacked and disabled.",,,,
sotf_apromise_omicron,CUSTOM,"A cruiser-sized starship. It's sending out short-range distress signals and has signs of severe battle damage, but gives off sensor signatures that would be associated with an at least partially functioning warship.",,,,
sotf_sierracore,RESOURCE,"An AI core of unknown design and purpose. Connection ports are incompatible with any others you've seen. The core itself emanates erratic signals at frequencies reminiscent of those associated with phase technology, and a sound akin to melodic humming can be heard in the core's direct vicinity. This noise cannot be verified in recording and appears to be an auditory hallucination caused by the core's emissions.

Nonetheless, it is likely of value to someone. Handing it off to a major Sector power seems irresponsible.",,,,
sotf_sierracore_officer,RESOURCE,"AI core of Sierra-Nought-Bravo, a Domain-era experimental persona partial to music and witchcraft. Can be installed into ships with the Sierra's Concord hullmod to allow her to pilot them.

Her core itself emanates erratic signals at frequencies reminiscent of those associated with phase technology, and a sound akin to melodic humming can be heard in the core's direct vicinity. This noise cannot be verified in recording and appears to be an auditory hallucination caused by the core's emissions. Sierra attributes this to her 'enchanting presence' and has no scientific explanation for the phenomenon.",,,,
,,,,,,
# SIERRA,,,,,,
sotf_pledge,SHIP,"A unique derivative of the Fulgent drone destroyer, the Pledge-class seems to have received a major overhaul by an unknown party for use by the experimental AI persona Sierra. Making use of an exotic phase system, it is well-suited to skirmishing on the outskirts of a battle and quickly striking at faults in enemy lines.

Sierra's unusual qualities seem to be a focal point of the ship, its internals a twisting web of heavily-insulated cables snaking out from where she holds her central vigil. Through means that seemingly defy most practical principles of the poorly-understood field of interdimensional warfare, the so-called ""Phase Concord"" is specially tuned as if by a madwoman, with designated energy intake and frequencies being inconsistent, seemingly nonsensical or outright dangerous. Sierra often likens its operation to a ""dance"" of sorts.

Curiously, while the Fulgent is designed with no more concessions for human life than it takes to hold a sales pitch and complementary tour, the Pledge contains a fully-functional hab-module which contains a small artificial atmosphere (tuned to replicate the fresh air and floral scents of an unspoiled Terran garden) and is staffed by a complement of repair drones which perform simple tasks at request and are often overridden by Sierra to socialize with the crew. A quiet but perpetual stream of melodic music fills the interior unless silence is explicitly requested. 

Despite this, the Pledge has no manual controls and has neither need nor use for human presence.",,,,
sotf_pact,SHIP,"Bleeding-edge and blood-seeking, the Pact-class glides its AI persona across battlescapes and between dimensions with an unearthly grace. Incredible tactical versatility is underpinned by heavy strike potential, excellent combat specifications and a truly horrifying capacity for force projection. No opportunity is presented that it cannot exploit. Nothing escapes the Pact for long.

A network of insulated cables snake out from the ship's central core-chamber, where its operating mind holds her central vigil. Through means that seemingly defy most practical principles of the poorly-understood field of interdimensional warfare, the so-called ""Phase Concord"" is specially tuned as if by a madwoman, with designated energy intake and frequencies being inconsistent, seemingly nonsensical or outright dangerous. Yet it tears reality, again and again, to dance amongst the void.

Curiously, while Tri-Tachyon droneships are designed with no more concessions for human life than it takes to hold a sales pitch and complementary tour, the Pact contains a fully-functional hab-module which contains a small artificial atmosphere (now tuned to replicate the fresh air and floral scents of an unspoiled Terran garden) and is staffed by a complement of repair drones which perform simple tasks at request and are often overridden by Sierra to socialize with the crew. A quiet but perpetual stream of melodic music fills the interior unless silence is explicitly requested.

Despite this, the Pact has no manual controls and has neither need nor use for human presence. ",,,,
